Name,Address,City,State,County
Oakwood Elementary,123 Maple Street,Springfield,Illinois,Sangamon
Riverside High School,456 River Road,Riverside,California,Riverside
Pinecrest Academy,789 Pine Avenue,Atlanta,Georgia,Fulton
Meadowbrook Middle School,101 Meadow Lane,Boston,Massachusetts,Suffolk
Sunnydale Elementary,202 Sunny Drive,Phoenix,Arizona,Maricopa
Lakeview High School,303 Lake Boulevard,Chicago,Illinois,Cook
Evergreen Montessori,404 Forest Way,Seattle,Washington,King
Golden Gate Preparatory,505 Golden Gate Avenue,San Francisco,California,San Francisco
Liberty Middle School,606 Freedom Street,Philadelphia,Pennsylvania,Philadelphia
Magnolia Elementary,707 Magnolia Road,Houston,Texas,Harris
Hillcrest Academy,808 Hill Street,Denver,Colorado,Denver
Oceanview High School,909 Beach Boulevard,Miami,Florida,Miami-Dade
Redwood Elementary,1010 Redwood Drive,Portland,Oregon,Multnomah
Silver Lake Middle School,1111 Silver Lake Road,Los Angeles,California,Los Angeles
Prairie View High School,1212 Prairie Avenue,Dallas,Texas,Dallas
Mountain View Elementary,1313 Mountain Road,Albuquerque,New Mexico,Bernalillo
Brookside Academy,1414 Brook Lane,Nashville,Tennessee,Davidson
Willow Creek Middle School,1515 Willow Street,Minneapolis,Minnesota,Hennepin
Cedar Ridge High School,1616 Cedar Avenue,Austin,Texas,Travis
Sunnyside Elementary,1717 Sun Valley Drive,Las Vegas,Nevada,Clark
Maple Grove Elementary,1818 Maple Avenue,Columbus,Ohio,Franklin
Fairview High School,1919 Fair Street,Charlotte,North Carolina,Mecklenburg
Elmwood Academy,2020 Elm Road,Detroit,Michigan,Wayne
Rosewood Middle School,2121 Rose Lane,San Diego,California,San Diego
Oakridge Elementary,2222 Oak Street,Indianapolis,Indiana,Marion
Cypress Creek High School,2323 Cypress Drive,Jacksonville,Florida,Duval
Birchwood Montessori,2424 Birch Boulevard,Milwaukee,Wisconsin,Milwaukee
Aspen Heights Preparatory,2525 Aspen Court,Salt Lake City,Utah,Salt Lake
Riverdale Elementary,2626 River View Road,Kansas City,Missouri,Jackson
Stonecrest Academy,2727 Stone Way,Baltimore,Maryland,Baltimore City
Greenfield Middle School,2828 Green Avenue,Tucson,Arizona,Pima
Blue Ridge High School,2929 Blue Ridge Road,Raleigh,North Carolina,Wake
Sunset Elementary,3030 Sunset Boulevard,St. Louis,Missouri,St. Louis City
Valley View Middle School,3131 Valley Drive,Omaha,Nebraska,Douglas
Northstar Academy,3232 North Star Lane,Anchorage,Alaska,Anchorage
Southside High School,3333 South Street,New Orleans,Louisiana,Orleans
Eastwood Elementary,3434 East Avenue,Cleveland,Ohio,Cuyahoga
Westfield Middle School,3535 West Road,Honolulu,Hawaii,Honolulu
Central High School,3636 Central Parkway,Cincinnati,Ohio,Hamilton
Highland Elementary,3737 Highland Drive,Pittsburgh,Pennsylvania,Allegheny
Lakeside Academy,3838 Lakeshore Boulevard,Orlando,Florida,Orange
Forest Hills High School,3939 Forest Road,Richmond,Virginia,Richmond City
Meadowlark Elementary,4040 Meadowlark Lane,Boise,Idaho,Ada
Ridgeview Middle School,4141 Ridge Avenue,Lexington,Kentucky,Fayette
Summit Preparatory,4242 Summit Way,Colorado Springs,Colorado,El Paso
Creekside Elementary,4343 Creek Road,Tulsa,Oklahoma,Tulsa
Harbor View High School,4444 Harbor Street,Newark,New Jersey,Essex
Parkside Academy,4545 Park Place,St. Paul,Minnesota,Ramsey
Woodland Elementary,4646 Wood Street,Buffalo,New York,Erie
Skyline High School,4747 Sky Drive,Oakland,California,Alameda
